Date,Close,High,Low,n,Open,Volume,vw,Dividends,Stock Splits
2025-06-24 00:00:00+00:00,445.47,450.61,443.16,1437,450.61,44631,446.44,0.0,0.0
2025-06-25 00:00:00+00:00,443.83,448.92,442.72,1051,448.92,23781,445.23,0.0,0.0
2025-06-26 00:00:00+00:00,443.46,448.92,442.01,2221,444.44,49270,445.29,0.0,0.0
2025-06-27 00:00:00+00:00,443.81,444.31,436.96,1636,439.57,43620,441.64,0.0,0.0
2025-06-30 00:00:00+00:00,448.3,448.76,443.11,1384,444.64,27133,446.74,0.0,0.0
2025-07-01 00:00:00+00:00,450.91,453.82,445.66,1206,448.08,34760,450.53,0.0,0.0
2025-07-02 00:00:00+00:00,447.89,450.65,444.44,1514,450.65,48961,448.05,0.0,0.0
2025-07-03 00:00:00+00:00,447.22,449.73,446.36,976,448.61,39084,447.49,0.0,0.0
2025-07-07 00:00:00+00:00,453.81,455.06,447.9,1295,449.2,28278,452.78,0.0,0.0
2025-07-08 00:00:00+00:00,448.35,451.03,446.69,1442,449.42,37282,448.92,0.0,0.0
2025-07-09 00:00:00+00:00,448.11,450.75,445.98,886,450.75,17342,447.59,0.0,0.0
2025-07-10 00:00:00+00:00,449.4,451.37,443.34,1678,443.34,58503,449.33,0.0,0.0
2025-07-11 00:00:00+00:00,452.39,452.96,447.01,1399,448.86,36613,451.16,0.0,0.0
2025-07-14 00:00:00+00:00,458.42,459.15,453.39,1629,454.36,34569,457.02,0.0,0.0
2025-07-15 00:00:00+00:00,455.76,457.45,453.58,1051,456.64,33761,455.63,0.0,0.0
2025-07-16 00:00:00+00:00,456.31,456.91,452.14,1113,454.36,26773,454.7,0.0,0.0
2025-07-17 00:00:00+00:00,454.13,458.91,452.63,1226,456.29,29075,455.39,0.0,0.0
2025-07-18 00:00:00+00:00,449.06,455.23,446.43,1386,454.53,32631,449.0,0.0,0.0
2025-07-21 00:00:00+00:00,446.55,452.25,446.45,2066,447.85,44469,449.2,0.0,0.0
2025-07-22 00:00:00+00:00,397.25,422.96,396.92,4994,406.34,199164,409.31,0.0,0.0
2025-07-23 00:00:00+00:00,405.61,409.66,398.13,8260,400.52,376295,406.24,0.0,0.0
2025-07-24 00:00:00+00:00,407.13,412.65,406.7,6926,407.42,295763,410.36,0.0,0.0
2025-07-25 00:00:00+00:00,407.96,411.9,405.87,7583,406.6,363477,410.18,0.0,0.0
2025-07-28 00:00:00+00:00,407.67,414.77,407.61,5301,412.49,209516,410.05,0.0,0.0
2025-07-29 00:00:00+00:00,406.7,409.63,404.35,1691,409.07,42335,406.49,0.0,0.0
2025-07-30 00:00:00+00:00,405.1,408.78,403.76,2223,405.91,50191,406.28,0.0,0.0
2025-07-31 00:00:00+00:00,407.7,408.82,399.87,2138,403.5,56360,406.5,0.0,0.0
2025-08-01 00:00:00+00:00,407.11,410.07,403.89,2116,406.61,49630,407.24,0.0,0.0
2025-08-04 00:00:00+00:00,410.12,410.83,406.1,2023,406.65,54824,408.11,0.0,0.0
2025-08-05 00:00:00+00:00,414.5,416.01,408.75,2036,409.17,55819,413.76,0.0,0.0
2025-08-06 00:00:00+00:00,420.55,422.44,413.97,1551,413.97,45888,419.22,0.0,0.0
2025-08-07 00:00:00+00:00,417.03,420.12,414.61,2157,417.06,53059,416.85,0.0,0.0
2025-08-08 00:00:00+00:00,411.93,418.85,410.61,1939,418.85,41551,413.74,0.0,0.0
2025-08-11 00:00:00+00:00,412.32,413.84,410.72,1579,412.09,36743,412.23,0.0,0.0
2025-08-12 00:00:00+00:00,417.6,417.6,411.48,1985,411.86,49176,414.5,0.0,0.0
2025-08-13 00:00:00+00:00,428.06,429.11,418.04,1959,418.04,48006,425.23,0.0,0.0
2025-08-14 00:00:00+00:00,423.55,428.41,420.82,1699,426.17,61163,423.37,0.0,0.0
2025-08-15 00:00:00+00:00,423.56,426.42,422.82,1483,423.73,34578,424.27,0.0,0.0
2025-08-18 00:00:00+00:00,426.43,429.15,425.52,1523,427.24,30471,427.48,0.0,0.0
2025-08-19 00:00:00+00:00,426.72,429.68,425.41,1632,425.5,33164,426.87,0.0,0.0
2025-08-20 00:00:00+00:00,432.31,432.53,427.73,1661,427.73,40473,430.81,0.0,0.0
2025-08-21 00:00:00+00:00,432.77,433.88,430.46,1532,430.48,34762,432.77,0.0,0.0
2025-08-22 00:00:00+00:00,431.89,437.97,430.59,2379,435.92,52030,433.36,0.0,0.0
2025-08-25 00:00:00+00:00,433.19,434.17,430.88,1562,432.9,28934,432.78,0.0,0.0
2025-08-26 00:00:00+00:00,440.79,441.63,433.43,2039,435.25,56181,439.51,0.0,0.0
2025-08-27 00:00:00+00:00,439.67,443.91,439.53,1384,442.99,34123,441.6,0.0,0.0
2025-08-28 00:00:00+00:00,441.39,441.76,435.94,1917,438.68,36899,439.34,0.0,0.0
2025-08-29 00:00:00+00:00,440.59,444.51,440.37,1945,442.02,38753,441.62,0.0,0.0
2025-09-02 00:00:00+00:00,441.2,443.93,436.42,1852,442.45,39658,440.13,0.0,0.0
2025-09-03 00:00:00+00:00,437.49,440.02,435.48,1720,439.57,53771,438.02,0.0,0.0
2025-09-04 00:00:00+00:00,445.02,445.57,438.63,1295,439.18,39664,443.46,0.0,0.0
2025-09-05 00:00:00+00:00,452.17,452.2,445.72,1633,445.89,47328,449.56,0.0,0.0
2025-09-08 00:00:00+00:00,447.61,451.26,442.79,1468,451.26,29256,446.73,0.0,0.0
2025-09-09 00:00:00+00:00,445.65,445.98,441.06,1046,445.98,24310,443.41,0.0,0.0
2025-09-10 00:00:00+00:00,452.15,452.6,444.86,977,444.86,20798,449.95,0.0,0.0
2025-09-11 00:00:00+00:00,458.8,460.33,453.63,1598,453.63,41998,458.13,0.0,0.0
2025-09-12 00:00:00+00:00,459.5,460.99,455.68,1145,457.12,27240,458.48,0.0,0.0
2025-09-15 00:00:00+00:00,461.35,462.11,457.79,1278,459.38,36793,460.68,0.0,0.0
2025-09-16 00:00:00+00:00,462.09,465.92,459.78,1048,461.96,25198,463.31,0.0,0.0
2025-09-17 00:00:00+00:00,461.33,465.05,460.92,1321,462.97,46632,462.25,0.0,0.0
2025-09-18 00:00:00+00:00,461.75,462.32,457.23,1844,459.18,54502,460.74,0.0,0.0
2025-09-19 00:00:00+00:00,461.01,463.3,459.77,1591,462.28,53826,461.72,0.0,0.0
2025-09-22 00:00:00+00:00,468.05,469.81,462.07,1473,462.07,38392,466.45,0.0,0.0
2025-09-23 00:00:00+00:00,474.42,474.42,467.89,1839,468.74,43316,472.24,0.0,0.0
2025-09-24 00:00:00+00:00,473.67,482.09,473.5,1101,475.23,24571,477.66,0.0,0.0
2025-09-25 00:00:00+00:00,472.46,477.75,472.16,1064,477.75,34848,474.35,0.0,0.0
2025-09-26 00:00:00+00:00,475.09,477.79,472.89,1189,477.79,22054,474.91,0.0,0.0
2025-09-29 00:00:00+00:00,479.3,485.75,477.05,1529,484.72,38673,481.17,0.0,0.0
2025-09-30 00:00:00+00:00,486.75,486.75,480.19,1251,480.57,34824,484.81,0.0,0.0
2025-10-01 00:00:00+00:00,486.54,491.27,482.79,1066,482.79,29566,486.8,0.0,0.0
2025-10-02 00:00:00+00:00,486.66,490.87,485.27,817,486.91,19168,487.28,0.0,0.0
2025-10-03 00:00:00+00:00,492.05,493.68,487.36,1170,487.36,24640,492.39,0.0,0.0
2025-10-06 00:00:00+00:00,501.34,502.31,493.97,1991,493.97,59701,500.4,0.0,0.0
2025-10-07 00:00:00+00:00,498.11,502.96,496.38,1811,501.42,38944,498.8,0.0,0.0
2025-10-08 00:00:00+00:00,501.02,502.35,498.57,1557,501.44,41929,500.98,0.0,0.0
2025-10-09 00:00:00+00:00,494.83,502.01,492.17,1047,501.82,25294,497.26,0.0,0.0
2025-10-10 00:00:00+00:00,492.46,500.26,488.34,1863,495.9,47602,495.21,0.0,0.0
2025-10-13 00:00:00+00:00,491.02,494.27,489.16,1526,489.16,46830,491.9,0.0,0.0
2025-10-14 00:00:00+00:00,492.36,493.95,487.8,1851,488.62,44578,490.95,0.0,0.0
2025-10-15 00:00:00+00:00,487.05,491.89,473.8,1741,490.53,53181,487.03,0.0,0.0
2025-10-16 00:00:00+00:00,480.92,488.13,479.89,2071,488.13,39403,481.55,0.0,0.0
2025-10-17 00:00:00+00:00,482.49,483.84,475.86,1593,479.53,41985,480.38,0.0,0.0
2025-10-20 00:00:00+00:00,492.85,493.11,484.95,1659,484.97,55723,490.25,0.0,0.0
2025-10-21 00:00:00+00:00,477.18,492.78,473.76,3357,481.11,113613,479.24,0.0,0.0
2025-10-22 00:00:00+00:00,474.67,478.31,470.92,2291,477.53,69998,473.53,0.0,0.0
2025-10-23 00:00:00+00:00,475.69,480.87,475.25,2420,475.83,64737,478.09,0.0,0.0
2025-10-24 00:00:00+00:00,473.02,478.98,472.13,2656,478.29,59800,473.94,0.0,0.0
2025-10-27 00:00:00+00:00,474.58,474.93,467.86,2232,472.1,55800,472.47,0.0,0.0
2025-10-28 00:00:00+00:00,473.46,476.6,471.82,1727,473.8,42352,473.83,0.0,0.0
2025-10-29 00:00:00+00:00,472.97,476.4,471.95,1202,472.69,35285,473.56,0.0,0.0
2025-10-30 00:00:00+00:00,477.43,481.96,474.84,1752,474.84,41634,479.17,0.0,0.0
2025-10-31 00:00:00+00:00,479.43,481.18,474.44,1375,475.66,31584,478.24,0.0,0.0
2025-11-03 00:00:00+00:00,475.53,477.68,472.54,1193,476.57,21725,475.27,0.0,0.0
2025-11-04 00:00:00+00:00,472.58,475.15,469.58,2093,471.76,39484,472.5,0.0,0.0
2025-11-05 00:00:00+00:00,461.3,472.84,461.3,2112,471.66,53592,464.77,0.0,0.0
2025-11-06 00:00:00+00:00,457.15,461.48,454.59,1649,460.65,40487,458.1,0.0,0.0
2025-11-07 00:00:00+00:00,446.7,456.65,444.91,3686,456.65,83527,448.72,0.0,0.0
2025-11-10 00:00:00+00:00,440.7,444.4,437.49,2582,443.17,59209,440.39,0.0,0.0
2025-11-11 00:00:00+00:00,445.67,450.0,439.94,1961,439.96,42635,446.11,0.0,0.0
2025-11-12 00:00:00+00:00,445.52,448.09,444.28,1809,445.04,32617,446.28,0.0,0.0
2025-11-13 00:00:00+00:00,444.28,449.02,443.76,1711,446.32,29462,445.78,0.0,0.0
2025-11-14 00:00:00+00:00,454.24,454.62,443.54,2545,443.54,55899,451.76,0.0,0.0
2025-11-17 00:00:00+00:00,458.82,459.68,453.13,2985,455.72,67169,457.09,0.0,0.0
2025-11-18 00:00:00+00:00,462.66,466.54,459.78,2088,463.0,44592,462.44,0.0,0.0
2025-11-19 00:00:00+00:00,458.03,460.34,457.37,1460,458.39,28257,458.71,0.0,0.0
2025-11-20 00:00:00+00:00,456.36,465.23,453.46,1883,462.47,37595,457.46,0.0,0.0
2025-11-21 00:00:00+00:00,449.09,457.35,448.38,2684,456.79,56128,452.13,0.0,0.0
2025-11-24 00:00:00+00:00,439.8,449.25,438.82,1668,445.5,32444,442.38,0.0,0.0
2025-11-25 00:00:00+00:00,441.13,442.43,438.21,2152,439.98,52284,440.61,0.0,0.0
2025-11-26 00:00:00+00:00,442.93,445.51,441.6,1757,442.03,36046,443.6,0.0,0.0
2025-11-28 00:00:00+00:00,446.05,446.22,441.47,1012,442.84,21249,443.25,0.0,0.0
2025-12-01 00:00:00+00:00,431.26,446.01,430.75,2471,446.01,50437,435.87,0.0,0.0
2025-12-02 00:00:00+00:00,434.03,434.66,429.73,2711,432.0,73631,433.69,0.0,0.0
2025-12-03 00:00:00+00:00,438.97,440.14,431.27,2769,435.18,64163,435.43,0.0,0.0
2025-12-04 00:00:00+00:00,440.29,441.24,437.69,2058,440.21,47669,439.32,0.0,0.0
2025-12-05 00:00:00+00:00,444.19,444.73,438.71,2093,439.47,45778,442.29,0.0,0.0
2025-12-08 00:00:00+00:00,457.04,457.22,444.13,2108,444.13,45427,453.54,0.0,0.0
2025-12-09 00:00:00+00:00,458.59,464.32,457.03,1726,457.03,36551,460.63,0.0,0.0
2025-12-10 00:00:00+00:00,459.57,464.55,448.23,2725,455.51,63964,458.92,0.0,0.0
2025-12-11 00:00:00+00:00,466.41,471.06,463.15,1628,463.23,26285,467.96,0.0,0.0
2025-12-12 00:00:00+00:00,471.73,472.17,463.9,1992,466.96,35554,470.23,0.0,0.0
2025-12-15 00:00:00+00:00,475.9,476.05,468.75,1777,470.52,32716,473.69,0.0,0.0
2025-12-16 00:00:00+00:00,468.46,471.17,465.73,2634,471.08,50922,468.59,0.0,0.0
2025-12-17 00:00:00+00:00,466.49,468.18,454.58,3537,462.62,91042,464.75,0.0,0.0
2025-12-18 00:00:00+00:00,461.65,467.47,460.92,2723,463.69,50462,463.26,0.0,0.0
2025-12-19 00:00:00+00:00,465.24,467.24,456.96,2498,458.69,55606,464.34,0.0,0.0
2025-12-22 00:00:00+00:00,474.91,476.3,468.3,1841,468.3,34858,473.6,0.0,0.0
2025-12-23 00:00:00+00:00,473.97,476.07,473.0,1383,475.83,23871,474.35,0.0,0.0
2025-12-24 00:00:00+00:00,477.23,482.31,477.23,1003,478.1,17640,479.52,0.0,0.0
2025-12-26 00:00:00+00:00,474.46,478.15,472.67,1177,476.95,19883,474.47,0.0,0.0
2025-12-29 00:00:00+00:00,479.98,480.64,475.66,1602,475.66,31645,479.24,0.0,0.0
2025-12-30 00:00:00+00:00,479.32,482.61,479.3,1719,481.63,38162,480.55,0.0,0.0
2025-12-31 00:00:00+00:00,474.98,479.95,474.98,1470,479.95,26497,476.57,0.0,0.0
2026-01-02 00:00:00+00:00,488.15,488.15,468.18,1544,472.8,29684,482.42,0.0,0.0
2026-01-05 00:00:00+00:00,502.62,506.61,496.74,3212,499.45,77495,500.69,0.0,0.0
2026-01-06 00:00:00+00:00,512.65,529.15,510.2,5520,510.2,127888,519.62,0.0,0.0
2026-01-07 00:00:00+00:00,487.82,522.79,487.32,5519,516.51,170703,504.73,0.0,0.0
2026-01-08 00:00:00+00:00,508.99,533.05,504.33,6081,521.43,232147,520.39,0.0,0.0
2026-01-09 00:00:00+00:00,533.18,536.36,516.53,3971,516.53,110110,531.65,0.0,0.0
2026-01-12 00:00:00+00:00,541.33,543.46,530.89,3750,539.12,121613,538.06,0.0,0.0
2026-01-13 00:00:00+00:00,548.21,553.14,541.55,3556,550.83,86428,548.1,0.0,0.0
2026-01-14 00:00:00+00:00,562.24,567.59,546.36,3336,547.9,85107,560.19,0.0,0.0
2026-01-15 00:00:00+00:00,567.79,569.29,550.32,3090,558.88,67334,562.14,0.0,0.0
2026-01-16 00:00:00+00:00,572.09,572.48,567.25,1904,569.3,47473,570.39,0.0,0.0
2026-01-20 00:00:00+00:00,565.8,576.22,563.5,2667,570.54,56853,567.36,0.0,0.0
2026-01-21 00:00:00+00:00,575.7,578.31,566.59,2871,566.59,77667,574.55,0.0,0.0
2026-01-22 00:00:00+00:00,583.13,585.15,572.14,2229,574.77,55720,579.39,0.0,0.0
2026-01-23 00:00:00+00:00,580.23,585.24,575.66,2292,584.28,48988,579.45,0.0,0.0
2026-01-26 00:00:00+00:00,571.12,579.9,565.7,2838,579.48,68552,570.36,0.0,0.0
2026-01-27 00:00:00+00:00,584.5,585.17,566.75,2939,570.46,76170,578.57,0.0,0.0
2026-01-28 00:00:00+00:00,586.68,588.46,573.23,3506,581.78,66573,585.41,0.0,0.0
2026-01-29 00:00:00+00:00,610.56,633.38,605.04,5512,605.04,167224,617.94,0.0,0.0
2026-01-30 00:00:00+00:00,623.04,629.49,606.11,2108,609.1,51454,620.58,0.0,0.0
2026-02-02 00:00:00+00:00,624.26,628.98,608.76,2526,610.94,56145,624.23,0.0,0.0
2026-02-03 00:00:00+00:00,617.16,634.74,608.41,3924,628.12,90062,621.16,0.0,0.0
2026-02-04 00:00:00+00:00,592.42,619.79,585.97,5058,619.78,157401,595.03,0.0,0.0
2026-02-05 00:00:00+00:00,598.41,602.69,586.53,2596,587.17,80727,599.18,0.0,0.0
2026-02-06 00:00:00+00:00,612.63,612.98,600.46,2846,603.66,70232,607.7,0.0,0.0
2026-02-09 00:00:00+00:00,627.02,627.5,614.37,3510,614.37,82468,622.89,0.0,0.0
2026-02-10 00:00:00+00:00,618.24,624.81,615.55,3421,624.34,56879,621.17,0.0,0.0
2026-02-11 00:00:00+00:00,617.71,622.26,610.75,2437,618.89,54760,617.74,0.0,0.0
2026-02-12 00:00:00+00:00,626.29,632.13,620.28,3312,621.76,67811,628.79,0.0,0.0
2026-02-13 00:00:00+00:00,640.89,644.46,631.01,2742,631.02,60020,640.27,0.0,0.0
2026-02-17 00:00:00+00:00,637.81,644.47,631.07,1988,641.65,53940,638.36,0.0,0.0
2026-02-18 00:00:00+00:00,638.32,648.8,635.87,3511,646.3,76895,641.63,0.0,0.0
2026-02-19 00:00:00+00:00,654.75,657.84,644.99,2316,646.3,48480,652.73,0.0,0.0
2026-02-20 00:00:00+00:00,646.74,655.54,637.19,2588,655.54,60248,643.78,0.0,0.0
2026-02-23 00:00:00+00:00,649.08,651.36,643.92,2314,646.79,38422,648.67,0.0,0.0
2026-02-24 00:00:00+00:00,652.92,656.96,642.45,2143,647.28,38785,652.37,0.0,0.0
2026-02-25 00:00:00+00:00,636.12,651.68,623.71,2936,651.68,55453,635.31,0.0,0.0
2026-02-26 00:00:00+00:00,630.12,635.16,627.64,3096,635.16,55918,630.88,0.0,0.0
2026-02-27 00:00:00+00:00,646.78,650.46,636.41,2653,637.46,49310,643.17,0.0,0.0
2026-03-02 00:00:00+00:00,668.25,682.51,656.03,5377,680.5,130651,666.81,0.0,0.0
2026-03-03 00:00:00+00:00,659.34,676.97,649.5,3707,673.62,85768,658.36,0.0,0.0
2026-03-04 00:00:00+00:00,656.28,661.56,644.76,2832,661.56,69572,651.74,0.0,0.0
2026-03-05 00:00:00+00:00,646.83,652.37,639.6,2195,652.13,43375,645.29,0.0,0.0
2026-03-06 00:00:00+00:00,663.34,664.26,649.15,2696,651.82,52352,659.75,0.0,0.0
2026-03-09 00:00:00+00:00,655.74,665.85,649.06,3362,664.14,80981,658.16,0.0,0.0
2026-03-10 00:00:00+00:00,642.8,650.62,640.6,3104,648.5,70081,646.15,0.0,0.0
2026-03-11 00:00:00+00:00,640.81,648.36,638.04,3862,640.6,76624,642.59,0.0,0.0
2026-03-12 00:00:00+00:00,644.73,652.34,638.94,2008,643.19,37674,647.33,0.0,0.0
2026-03-13 00:00:00+00:00,638.4,651.18,632.88,1598,644.64,31120,640.14,0.0,0.0
2026-03-16 00:00:00+00:00,637.59,642.92,632.19,2064,637.09,43678,636.2,0.0,0.0
2026-03-17 00:00:00+00:00,628.47,635.98,625.37,2342,635.98,50775,628.94,0.0,0.0
2026-03-18 00:00:00+00:00,634.05,637.71,629.04,1747,632.13,39420,633.4,0.0,0.0
2026-03-19 00:00:00+00:00,629.46,631.33,616.3,3239,629.18,71954,625.06,0.0,0.0
2026-03-20 00:00:00+00:00,619.93,629.09,614.83,2991,625.51,67436,619.85,0.0,0.0
2026-03-23 00:00:00+00:00,608.43,621.21,603.91,2147,618.75,48961,614.36,0.0,0.0
2026-03-24 00:00:00+00:00,602.48,606.98,598.16,2241,604.84,48469,603.08,0.0,0.0
2026-03-25 00:00:00+00:00,616.44,618.93,604.95,2204,606.11,39593,614.98,0.0,0.0
